Code,Link,Date Of Issue,Department,Title,Meant For,PDF Filename,S3 URL,Extraction Timestamp,Update Timestamp,Verification Timestamp
RBI/2022-2023/65 DOR.RET.REC.44/12.01.001/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/change-in-bank-rate-12333,"Jun 08, 2022",Department of Regulation,Change in Bank Rate,All Banks,Change_in_Bank_Rate_20250108035538.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Change_in_Bank_Rate_20250108035538.pdf,2025-01-08T03:55:43.524074,,
RBI/2022-2023/64 MPD.BC.393/07.01.279/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/standing-liquidity-facility-for-primary-dealers-12332,"Jun 08, 2022",Monetary Policy Department,Standing Liquidity Facility for Primary Dealers,"All Primary Dealers,",Standing_Liquidity_Facility_for_Primary_Dealers_20250108035543.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Standing_Liquidity_Facility_for_Primary_Dealers_20250108035543.pdf,2025-01-08T03:55:48.248363,,
RBI/2022-23/63 FMOD.MAOG.No.145/01.01.001/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/liquidity-adjustment-facility-change-in-rates-12331,"Jun 08, 2022",Financial Markets Operation Department,Liquidity Adjustment Facility - Change in rates,All Liquidity Adjustment Facility (LAF) participants,Liquidity_Adjustment_Facility___Change_in_rates_20250108035548.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Liquidity_Adjustment_Facility___Change_in_rates_20250108035548.pdf,2025-01-08T03:55:53.672331,,
RBI/2022-2023/62 DoR.AUT.REC.41/24.01.001/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/branches-of-indian-banks-operating-in-gift-ifsc-acting-as-professional-clearing-member-pcm-of-india-international-bullion-exchange-ifsc-limited-iibx-12330,"Jun 07, 2022",Department of Regulation,Branches of Indian Banks operating in GIFT-IFSC - acting as Professional Clearing Member (PCM) of India International Bullion Exchange IFSC Limited (IIBX),All Scheduled Commercial Banks,Branches_of_Indian_Banks_operating_in_GIFT_IFSC____20250108035553.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Branches_of_Indian_Banks_operating_in_GIFT_IFSC____20250108035553.pdf,2025-01-08T03:55:58.726550,,
RBI/2022-2023/61 DOR.STR.REC.40/21.04.048/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/provisioning-for-standard-assets-by-non-banking-financial-company-upper-layer-12329,"Jun 06, 2022",Department of Regulation,Provisioning for Standard assets by Non-Banking Financial Company - Upper Layer,All Non-Banking Financial Companies (Including Housing Finance Companies),Provisioning_for_Standard_assets_by_Non_Banking_Fi_20250108035558.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Provisioning_for_Standard_assets_by_Non_Banking_Fi_20250108035558.pdf,2025-01-08T03:56:03.773607,,
RBI/2022-2023/93 FMRD.DIRD.02/14.01.023/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/master-direction-reserve-bank-of-india-variation-margin-directions-2022-12328,"Jun 01, 2022",Financial Markets Regulation Department,"Master Direction - Reserve Bank of India (Variation Margin) Directions, 2022",All Eligible Market Participants,Master_Direction___Reserve_Bank_of_India_Variation_20250108035603.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Master_Direction___Reserve_Bank_of_India_Variation_20250108035603.pdf,2025-01-08T03:56:09.027572,,
RBI/2022-2023/60 DOR.STR.REC.39/04.02.001/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/interest-equalization-scheme-ies-on-pre-and-post-shipment-rupee-export-credit-extension-12327,"May 31, 2022",Department of Regulation,Interest Equalization Scheme (IES) on Pre and Post Shipment Rupee Export Credit - Extension,"All Scheduled Commercial Banks (excluding RRBs), Small Finance Banks, Primary (Urban) Cooperative Banks & State Cooperative Banks (scheduled banks having AD category-I license), and Exim Bank",Interest_Equalization_Scheme_IES_on_Pre_and_Post_S_20250108035611.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Interest_Equalization_Scheme_IES_on_Pre_and_Post_S_20250108035611.pdf,2025-01-08T03:56:16.667395,,
RBI/2022-2023/59 DOR.AML.REC.38/14.06.001/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/implementation-of-section-51a-of-uapa-1967-updates-to-unsc-s-1267-1989-isil-da-esh-amp-al-qaida-sanctions-list-amendment-in-6-entries-individuals-12326,"May 30, 2022",Department of Regulation,"Implementation of Section 51A of UAPA, 1967: Updates to UNSC’s 1267/ 1989 ISIL (Da'esh) & Al-Qaida Sanctions List: Amendment in 6 entries (individuals)",The Chairpersons/ CEOs of all the Regulated Entities,Implementation_of_Section_51A_of_UAPA_1967_Updates_20250108035616.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Implementation_of_Section_51A_of_UAPA_1967_Updates_20250108035616.pdf,2025-01-08T03:56:22.275133,,
RBI/2022-2023/58 CO.DPSS.POLC.No. S-253/02-27-020/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/bharat-bill-payment-system-amendment-to-guidelines-12325,"May 26, 2022",Department of Payment and Settlement Systems,Bharat Bill Payment System - Amendment to guidelines,The Chairman and Managing Director / Chief Executive Officer NPCI Bharat BillPay Ltd. / Bharat Bill Payment System Providers / Participants and prospective Bharat Bill Payment Operating Units,Bharat_Bill_Payment_System___Amendment_to_guidelin_20250108035622.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Bharat_Bill_Payment_System___Amendment_to_guidelin_20250108035622.pdf,2025-01-08T03:56:27.532678,,
RBI/2022-2023/57 A.P. (DIR Series) Circular No.04,https://website.rbi.org.in/web/rbi/-/notifications/guidelines-on-import-of-gold-by-qualified-jewellers-as-notified-by-the-international-financial-services-centers-authority-ifsca-12324,"May 25, 2022",Foreign Exchange Department,Guidelines on import of gold by Qualified Jewellers as notified by - The International Financial Services Centers Authority (IFSCA),All Category-I Authorised Dealer Banks,Guidelines_on_import_of_gold_by_Qualified_Jeweller_20250108035627.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Guidelines_on_import_of_gold_by_Qualified_Jeweller_20250108035627.pdf,2025-01-08T03:56:33.551454,,
RBI/2022-2023/56 DOR.CRE.REC.18/09.22.010/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/housing-finance-loans-for-repairs-additions-alterations-enhancement-of-limits-12323,"May 24, 2022",Department of Regulation,Housing Finance - Loans for repairs/additions/alterations - Enhancement of limits,All Primary (Urban) Co-operative Banks,Housing_Finance___Loans_for_repairsadditionsaltera_20250108035633.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Housing_Finance___Loans_for_repairsadditionsaltera_20250108035633.pdf,2025-01-08T03:56:39.144413,,
RBI/2022-2023/55 DOR.ACC.REC.No.37/21.04.018/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/reserve-bank-of-india-financial-statements-presentation-and-disclosures-directions-2021-reporting-of-reverse-repos-with-reserve-bank-on-the-bank-s-balance-sheet-12322,"May 19, 2022",Department of Regulation,"Reserve Bank of India (Financial Statements - Presentation and Disclosures) Directions, 2021 - Reporting of reverse repos with Reserve Bank on the bank’s balance sheet",All commercial banks,Reserve_Bank_of_India_Financial_Statements___Prese_20250108035639.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Reserve_Bank_of_India_Financial_Statements___Prese_20250108035639.pdf,2025-01-08T03:56:44.088252,,
RBI/2022-2023/54 CO.DPSS.POLC.No.S-227/02-10-002/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/interoperable-card-less-cash-withdrawal-iccw-at-atms-12321,"May 19, 2022",Department of Payment and Settlement Systems,Interoperable Card-less Cash Withdrawal (ICCW) at ATMs,The Chairman and Managing Director / Chief Executive Officer Scheduled Commercial Banks including RRBs / Urban Co-operative Banks / State Co-operative Banks / District Central Co-operative Banks / Payment Banks / Small Finance Banks / National Payments Corporation of India (NPCI) / ATM Networks / White Label ATM Operators (WLAOs),Interoperable_Card_less_Cash_Withdrawal_ICCW_at_AT_20250108035644.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Interoperable_Card_less_Cash_Withdrawal_ICCW_at_AT_20250108035644.pdf,2025-01-08T03:56:49.108340,,
RBI/2022-2023/53 A.P. (DIR Series) Circular No.03,https://website.rbi.org.in/web/rbi/-/notifications/government-of-india-guaranteed-term-loan-extended-by-sbi-to-the-government-of-sri-lanka-settlement-in-inr-12320,"May 19, 2022",Foreign Exchange Department,Government of India guaranteed term loan extended by SBI to the Government of Sri Lanka- Settlement in INR,All Category-I Authorised Dealer Banks,Government_of_India_guaranteed_term_loan_extended__20250108035649.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Government_of_India_guaranteed_term_loan_extended__20250108035649.pdf,2025-01-08T03:56:54.026562,,
RBI/2022-2023/52 FIDD.MSME & NFS.BC.No.7/06.02.31/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/new-definition-of-micro-small-and-medium-enterprises-clarification-12319,"May 19, 2022",Financial Inclusion and Development Department,"New Definition of Micro, Small and Medium Enterprises - Clarification","The Chairman/ Managing Director/Chief Executive Officer All Commercial Banks (including Small Finance Banks, Local Area Banks and Regional Rural Banks) All Primary (Urban) Co-operative Banks/State Co-operative Banks/ District Central Co-operative Banks /All-India Financial Institutions/ All Non-Banking Financial Companies",New_Definition_of_Micro_Small_and_Medium_Enterpris_20250108035654.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/New_Definition_of_Micro_Small_and_Medium_Enterpris_20250108035654.pdf,2025-01-08T03:56:59.133136,,
RBI/2022-2023/51 FIDD.CO.FSD.BC.No.6/05.05.010/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/kisan-credit-card-scheme-eligibility-criteria-for-farmers-engaged-in-fisheries-aquaculture-12318,"May 18, 2022",Financial Inclusion and Development Department,Kisan Credit Card Scheme - Eligibility criteria for farmers engaged in fisheries/ aquaculture,The Chairman/Managing Director/Chief Executive Officer All Scheduled Commercial Banks (including Small Finance Banks and excluding Regional Rural Banks),Kisan_Credit_Card_Scheme___Eligibility_criteria_fo_20250108035659.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Kisan_Credit_Card_Scheme___Eligibility_criteria_fo_20250108035659.pdf,2025-01-08T03:57:04.652827,,
RBI/2022-2023/50 FIDD.CO.Plan.BC.No.5/04.09.01/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/lending-by-commercial-banks-to-nbfcs-and-small-finance-banks-sfbs-to-nbfc-mfis-for-the-purpose-of-on-lending-to-priority-sectors-12317,"May 13, 2022",Financial Inclusion and Development Department,"Lending by Commercial Banks to NBFCs and Small Finance Banks (SFBs) to NBFC-MFIs, for the purpose of on-lending to priority sectors","The Chairman/ Managing Director/ Chief Executive Officer All Scheduled Commercial Banks (Including Small Finance Banks) (Excluding Regional Rural Banks, Urban Co-operative Banks and Local Area Banks)",Lending_by_Commercial_Banks_to_NBFCs_and_Small_Fin_20250108035707.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Lending_by_Commercial_Banks_to_NBFCs_and_Small_Fin_20250108035707.pdf,2025-01-08T03:57:12.450194,,
RBI/2022-2023/48 DoR.RRA.36/01.01.101/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/regulations-review-authority-rra-2.0-recommendations-for-withdrawal-of-circulars-12315,"May 13, 2022",Department of Regulation,Regulations Review Authority (RRA 2.0) - Recommendations for Withdrawal of Circulars,All Scheduled Commercial Banks (including Regional Rural Banks) All Payments Banks All Small Finance Banks All Local Area Banks All Authorized Dealers All Primary (Urban) Co-operative Banks,Regulations_Review_Authority_RRA_20___Recommendati_20250108035712.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Regulations_Review_Authority_RRA_20___Recommendati_20250108035712.pdf,2025-01-08T03:57:18.653406,,
RBI/2022-2023/49 FIDD.CO.Plan.BC.No.4/04.09.001/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/regulations-review-authority-rra-2.0-recommendations-for-withdrawal-of-circulars-12316,"May 13, 2022",Financial Inclusion and Development Department,Regulations Review Authority (RRA 2.0) - Recommendations for Withdrawal of Circulars,All Scheduled Commercial Banks All Small Finance Banks All Local Area Banks,Regulations_Review_Authority_RRA_20___Recommendati_20250108035718.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Regulations_Review_Authority_RRA_20___Recommendati_20250108035718.pdf,2025-01-08T03:57:23.920512,,
RBI/2022-2023/47 A.P. (DIR Series) Circular No.02,https://website.rbi.org.in/web/rbi/-/notifications/exim-bank-s-government-of-india-supported-additional-line-of-credit-loc-of-usd-190-million-to-the-sbm-mauritius-infrastructure-development-company-ltd-12314,"May 05, 2022",Foreign Exchange Department,Exim Bank's Government of India supported additional Line of Credit (LoC) of USD 190 million to the SBM (Mauritius) Infrastructure Development Company Ltd,All Category - I Authorised Dealer Banks,Exim_Banks_Government_of_India_supported_additiona_20250108035723.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Exim_Banks_Government_of_India_supported_additiona_20250108035723.pdf,2025-01-08T03:57:28.796215,,
RBI/2022-2023/45 DOR.RET.REC.32/12.01.001/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/change-in-bank-rate-12312,"May 04, 2022",Department of Regulation,Change in Bank Rate,All Banks,Change_in_Bank_Rate_20250108035728.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Change_in_Bank_Rate_20250108035728.pdf,2025-01-08T03:57:33.580696,,
RBI/2022-2023/46 DOR.RET.REC.33/12.01.001/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/maintenance-of-cash-reserve-ratio-crr-12313,"May 04, 2022",Department of Regulation,Maintenance of Cash Reserve Ratio (CRR),All Banks,Maintenance_of_Cash_Reserve_Ratio_CRR_20250108035733.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Maintenance_of_Cash_Reserve_Ratio_CRR_20250108035733.pdf,2025-01-08T03:57:38.346404,,
RBI/2022-2023/44 REF.No.MPD.BC.S33/07.01.279/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/standing-liquidity-facility-for-primary-dealers-12311,"May 04, 2022",Monetary Policy Department,Standing Liquidity Facility for Primary Dealers,"All Primary Dealers,",Standing_Liquidity_Facility_for_Primary_Dealers_20250108035738.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Standing_Liquidity_Facility_for_Primary_Dealers_20250108035738.pdf,2025-01-08T03:57:43.244668,,
RBI/2022-2023/43 DOR.LEG.REC.No.35/09.07.005/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/asba-designated-branches-to-remain-open-for-public-on-may-8-2022-sunday-to-facilitate-processing-of-applications-for-lic-ipo-12310,"May 04, 2022",Department of Regulation,"ASBA designated branches to remain open for public on May 8, 2022 (Sunday) to facilitate processing of applications for LIC IPO",All Scheduled Commercial Banks,ASBA_designated_branches_to_remain_open_for_public_20250108035743.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/ASBA_designated_branches_to_remain_open_for_public_20250108035743.pdf,2025-01-08T03:57:48.263650,,
RBI/2022-2023/42 FMOD.MAOG.No.144/01.01.001/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/liquidity-adjustment-facility-change-in-rates-12309,"May 04, 2022",Financial Markets Operation Department,Liquidity Adjustment Facility- Change in rates,All Liquidity Adjustment Facility (LAF) participants,Liquidity_Adjustment_Facility__Change_in_rates_20250108035748.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Liquidity_Adjustment_Facility__Change_in_rates_20250108035748.pdf,2025-01-08T03:57:53.576395,,
RBI/2022-2023/41 FMRD.DIRD.01/14.03.059/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/regulations-review-authority-rra-2.0-interim-recommendations-withdrawal-of-circulars-12308,"May 02, 2022",Financial Markets Regulation Department,Regulations Review Authority (RRA 2.0) - Interim Recommendations - Withdrawal of Circulars,All Eligible Market Participants,Regulations_Review_Authority_RRA_20___Interim_Reco_20250108035753.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Regulations_Review_Authority_RRA_20___Interim_Reco_20250108035753.pdf,2025-01-08T03:57:58.462718,,
RBI/2022-2023/38 DoS.CO.PPG./SEC.02/11.01.005/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/regulations-review-authority-rra-2.0-interim-recommendations-withdrawal-of-circulars-12305,"May 02, 2022",Department of Supervision,Regulations Review Authority (RRA 2.0) - Interim Recommendations - Withdrawal of Circulars,The Registrar of Cooperative Societies (All States/ Union Territories) All Primary (Urban) Cooperative Banks,Regulations_Review_Authority_RRA_20___Interim_Reco_20250108035801.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Regulations_Review_Authority_RRA_20___Interim_Reco_20250108035801.pdf,2025-01-08T03:58:06.890672,,
RBI/2022-2023/40 DCM (Admin) No. S172/19.01.010/2022-23,https://website.rbi.org.in/web/rbi/-/notifications/regulations-review-authority-rra-2.0-interim-recommendations-withdrawal-of-circulars-12306,"May 02, 2022",Department of Currency Management,Regulations Review Authority (RRA 2.0) - Interim Recommendations - Withdrawal of Circulars,All Banks having Currency Chests,Regulations_Review_Authority_RRA_20___Interim_Reco_20250108035806.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Regulations_Review_Authority_RRA_20___Interim_Reco_20250108035806.pdf,2025-01-08T03:58:11.569581,,
